,school,sex,age,address,fa2ize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,fa2up,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Final Grade
0,1,F,18,Urban,Greater than 3,Apart,4,4,at_home,teacher,course,mother,15 Minutes to 30 Minutes to An Hour0 Minutes,2 to 5 hours,0,yes,no,no,no,yes,yes,no,no,Very Good,Moderate,4,1,1,Fair,6,5,6,6,Fail
1,1,F,17,Urban,Greater than 3,Living Together,1,1,at_home,other,course,father,Less than 15 Minutes,2 to 5 hours,0,no,yes,no,no,no,yes,yes,no,Excellent,Moderate,3,1,1,Fair,4,5,5,6,Fail
2,1,F,15,Urban,Less or Equal to 3,Living Together,1,1,at_home,other,other,mother,Less than 15 Minutes,2 to 5 hours,3,yes,no,yes,no,yes,yes,yes,no,Very Good,Moderate,2,2,3,Fair,10,7,8,10,Pass
3,1,F,15,Urban,Greater than 3,Living Together,4,2,health,services,home,mother,Less than 15 Minutes,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,Good,Low,2,1,1,Very Good,2,15,14,15,Pass
4,1,F,16,Urban,Greater than 3,Living Together,3,3,other,other,home,father,Less than 15 Minutes,2 to 5 hours,0,no,yes,yes,no,yes,yes,no,no,Very Good,Moderate,2,1,2,Very Good,4,6,10,10,Pass
5,1,M,16,Urban,Less or Equal to 3,Living Together,4,3,services,other,reputation,mother,Less than 15 Minutes,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,Excellent,High,2,1,2,Very Good,10,15,15,15,Pass
6,1,M,16,Urban,Less or Equal to 3,Living Together,2,2,other,other,home,mother,Less than 15 Minutes,2 to 5 hours,0,no,no,no,no,yes,yes,yes,no,Very Good,High,4,1,1,Fair,0,12,12,11,Pass
7,1,F,17,Urban,Greater than 3,Apart,4,4,other,teacher,home,mother,15 Minutes to 30 Minutes to An Hour0 Minutes,2 to 5 hours,0,yes,yes,no,no,yes,yes,no,no,Very Good,Very Low,4,1,1,Very Bad,6,6,5,6,Fail
8,1,M,15,Urban,Less or Equal to 3,Apart,3,2,services,other,home,mother,Less than 15 Minutes,2 to 5 hours,0,no,yes,yes,no,yes,yes,yes,no,Very Good,Low,2,1,1,Very Bad,0,16,18,19,Pass
9,1,M,15,Urban,Greater than 3,Living Together,3,4,other,other,home,mother,Less than 15 Minutes,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,Excellent,Very High,1,1,1,Very Good,0,14,15,15,Pass
